subject_id,age,gender,height,weight,dominant_hand,executions
s01,54,M,190,83,R,6
s02,31,M,171,71,R,9
s03,24,F,161,62,R,10
s04,51,M,174,60,R,10
s05,54,M,172,85,R,10
s06,53,M,179,110,R,10
s07,49,M,176,88,R,11
s08,63,M,165,89,R,9
s09,28,F,164,49,R,10
s10,66,F,165,72,R,10
s11,50,M,181,70,R,10
s12,46,M,181,90,R,10
s13,26,M,170,65,R,10
s14,34,M,170,65,R,10
s15,23,F,166,60,L,10
s16,25,M,173,64,R,10
s17,58,F,156,53,R,10
s18,61,M,172,97,R,10
s19,30,F,160,58,R,10
s20,58,F,160,60,R,10
s21,56,F,160,55,R,10
s22,31,F,162,70,R,9
s23,48,F,174,78,R,9
